vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-364-26-18	Δ = 364	bi.bi = 26	b0.bi = 18	6 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-364-29-19	Δ = 364	bi.bi = 29	b0.bi = 19	4 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-364-32-20	Δ = 364	bi.bi = 32	b0.bi = 20	2 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-364-35-21	Δ = 364	bi.bi = 35	b0.bi = 21	8 x (irr-F4-52)
vtx-F04-376-68-28	Δ = 376	bi.bi = 68	b0.bi = 28	4 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-376-71-29	Δ = 376	bi.bi = 71	b0.bi = 29	2 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-376-74-30	Δ = 376	bi.bi = 74	b0.bi = 30	2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-377-50-24	Δ = 377	bi.bi = 50	b0.bi = 24	6 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-377-53-25	Δ = 377	bi.bi = 53	b0.bi = 25	4 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-377-56-26	Δ = 377	bi.bi = 56	b0.bi = 26	2 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-377-59-27	Δ = 377	bi.bi = 59	b0.bi = 27	3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-390-12-14	Δ = 390	bi.bi = 12	b0.bi = 14	17 x (irr-F4-26)
vtx-F04-390-15-15	Δ = 390	bi.bi = 15	b0.bi = 15	15 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-390-18-16	Δ = 390	bi.bi = 18	b0.bi = 16	13 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-390-21-17	Δ = 390	bi.bi = 21	b0.bi = 17	11 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-390-24-18	Δ = 390	bi.bi = 24	b0.bi = 18	9 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-390-27-19	Δ = 390	bi.bi = 27	b0.bi = 19	7 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-390-30-20	Δ = 390	bi.bi = 30	b0.bi = 20	5 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-390-33-21	Δ = 390	bi.bi = 33	b0.bi = 21	3 x (irr-F4-26) + 7 x (irr-F4-52)
vtx-F04-390-36-22	Δ = 390	bi.bi = 36	b0.bi = 22	1 x (irr-F4-26) + 8 x (irr-F4-52)
vtx-F04-402-69-29	Δ = 402	bi.bi = 69	b0.bi = 29	5 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-402-72-30	Δ = 402	bi.bi = 72	b0.bi = 30	3 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-402-75-31	Δ = 402	bi.bi = 75	b0.bi = 31	1 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-403-51-25	Δ = 403	bi.bi = 51	b0.bi = 25	7 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-403-54-26	Δ = 403	bi.bi = 54	b0.bi = 26	5 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-403-57-27	Δ = 403	bi.bi = 57	b0.bi = 27	3 x (irr-F4-26) + 2 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-403-60-28	Δ = 403	bi.bi = 60	b0.bi = 28	1 x (irr-F4-26) + 3 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-416-13-15	Δ = 416	bi.bi = 13	b0.bi = 15	18 x (irr-F4-26)
vtx-F04-416-16-16	Δ = 416	bi.bi = 16	b0.bi = 16	16 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-416-19-17	Δ = 416	bi.bi = 19	b0.bi = 17	14 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-416-22-18	Δ = 416	bi.bi = 22	b0.bi = 18	12 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-416-25-19	Δ = 416	bi.bi = 25	b0.bi = 19	10 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-416-28-20	Δ = 416	bi.bi = 28	b0.bi = 20	8 x (irr-F4-26) + 5 x (irr-F4-52)
