vtx-D06-n18-n4-n2	Δ = -18	bi.bi = -4	b0.bi = -2	4 x (irr-D6-12)
vtx-D06-652-69-37-c	Δ = 652	bi.bi = 69	b0.bi = 37	11 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-653-56-34-a	Δ = 653	bi.bi = 56	b0.bi = 34	3 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-653-56-34-b	Δ = 653	bi.bi = 56	b0.bi = 34	25 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-654-20-22	Δ = 654	bi.bi = 20	b0.bi = 22	28 x (irr-D6-12) + 24 x (irr-D6-32-h)
vtx-D06-656-53-33-a	Δ = 656	bi.bi = 53	b0.bi = 33	8 x (irr-D6-12) + 13 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-656-53-33-b	Δ = 656	bi.bi = 53	b0.bi = 33	5 x (irr-D6-12) + 18 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-656-92-44	Δ = 656	bi.bi = 92	b0.bi = 44	2 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-657-40-30	Δ = 657	bi.bi = 40	b0.bi = 30	28 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-658-43-29-a	Δ = 658	bi.bi = 43	b0.bi = 29	22 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-658-43-29-b	Δ = 658	bi.bi = 43	b0.bi = 29	19 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-659-30-26	Δ = 659	bi.bi = 30	b0.bi = 26	14 x (irr-D6-12) + 30 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-660-37-29	Δ = 660	bi.bi = 37	b0.bi = 29	5 x (irr-D6-12) + 21 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-660-76-40	Δ = 660	bi.bi = 76	b0.bi = 40	2 x (irr-D6-12) + 4 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-662-27-25	Δ = 662	bi.bi = 27	b0.bi = 25	19 x (irr-D6-12) + 23 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-662-66-36-a	Δ = 662	bi.bi = 66	b0.bi = 36	10 x (irr-D6-12) + 16 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-662-66-36-b	Δ = 662	bi.bi = 66	b0.bi = 36	13 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-662-66-36-c	Δ = 662	bi.bi = 66	b0.bi = 36	16 x (irr-D6-12) + 6 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-663-53-33-a	Δ = 663	bi.bi = 53	b0.bi = 33	5 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-663-53-33-b	Δ = 663	bi.bi = 53	b0.bi = 33	8 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-664-40-30	Δ = 664	bi.bi = 40	b0.bi = 30	36 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-666-50-32-a	Δ = 666	bi.bi = 50	b0.bi = 32	13 x (irr-D6-12) + 14 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-666-50-32-b	Δ = 666	bi.bi = 50	b0.bi = 32	10 x (irr-D6-12) + 19 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-666-89-43-a	Δ = 666	bi.bi = 89	b0.bi = 43	7 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-666-89-43-b	Δ = 666	bi.bi = 89	b0.bi = 43	4 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-666-89-43-c	Δ = 666	bi.bi = 89	b0.bi = 43	1 x (irr-D6-12) + 12 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-667-37-29	Δ = 667	bi.bi = 37	b0.bi = 29	5 x (irr-D6-12) + 29 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-667-76-40	Δ = 667	bi.bi = 76	b0.bi = 40	2 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-670-34-28	Δ = 670	bi.bi = 34	b0.bi = 28	10 x (irr-D6-12) + 22 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-670-73-39-a	Δ = 670	bi.bi = 73	b0.bi = 39	7 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-670-73-39-b	Δ = 670	bi.bi = 73	b0.bi = 39	1 x (irr-D6-12) + 15 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-670-73-39-c	Δ = 670	bi.bi = 73	b0.bi = 39	4 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-672-24-24	Δ = 672	bi.bi = 24	b0.bi = 24	24 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-674-57-35-a	Δ = 674	bi.bi = 57	b0.bi = 35	4 x (irr-D6-12) + 13 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-674-57-35-b	Δ = 674	bi.bi = 57	b0.bi = 35	1 x (irr-D6-12) + 18 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-676-47-31-a	Δ = 676	bi.bi = 47	b0.bi = 31	18 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-676-47-31-b	Δ = 676	bi.bi = 47	b0.bi = 31	15 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-677-34-28	Δ = 677	bi.bi = 34	b0.bi = 28	10 x (irr-D6-12) + 30 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-678-41-31	Δ = 678	bi.bi = 41	b0.bi = 31	1 x (irr-D6-12) + 21 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-680-31-27	Δ = 680	bi.bi = 31	b0.bi = 27	15 x (irr-D6-12) + 23 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-680-70-38-a	Δ = 680	bi.bi = 70	b0.bi = 38	9 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-680-70-38-b	Δ = 680	bi.bi = 70	b0.bi = 38	6 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-680-70-38-c	Δ = 680	bi.bi = 70	b0.bi = 38	12 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-681-57-35-a	Δ = 681	bi.bi = 57	b0.bi = 35	4 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-681-57-35-b	Δ = 681	bi.bi = 57	b0.bi = 35	1 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-682-21-23	Δ = 682	bi.bi = 21	b0.bi = 23	29 x (irr-D6-12) + 25 x (irr-D6-32-h)
vtx-D06-684-54-34-a	Δ = 684	bi.bi = 54	b0.bi = 34	9 x (irr-D6-12) + 14 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-684-54-34-b	Δ = 684	bi.bi = 54	b0.bi = 34	6 x (irr-D6-12) + 19 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-684-93-45-a	Δ = 684	bi.bi = 93	b0.bi = 45	7 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-684-93-45-b	Δ = 684	bi.bi = 93	b0.bi = 45	3 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-685-41-31	Δ = 685	bi.bi = 41	b0.bi = 31	1 x (irr-D6-12) + 29 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-686-44-30-a	Δ = 686	bi.bi = 44	b0.bi = 30	20 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-686-44-30-b	Δ = 686	bi.bi = 44	b0.bi = 30	23 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-687-31-27	Δ = 687	bi.bi = 31	b0.bi = 27	15 x (irr-D6-12) + 31 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-688-38-30	Δ = 688	bi.bi = 38	b0.bi = 30	6 x (irr-D6-12) + 22 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-688-77-41-a	Δ = 688	bi.bi = 77	b0.bi = 41	3 x (irr-D6-12) + 5 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-688-77-41-b	Δ = 688	bi.bi = 77	b0.bi = 41	10 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-690-28-26	Δ = 690	bi.bi = 28	b0.bi = 26	20 x (irr-D6-12) + 24 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-690-67-37-a	Δ = 690	bi.bi = 67	b0.bi = 37	11 x (irr-D6-12) + 17 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-690-67-37-b	Δ = 690	bi.bi = 67	b0.bi = 37	14 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-690-67-37-c	Δ = 690	bi.bi = 67	b0.bi = 37	17 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-691-54-34-a	Δ = 691	bi.bi = 54	b0.bi = 34	6 x (irr-D6-12) + 27 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-691-54-34-b	Δ = 691	bi.bi = 54	b0.bi = 34	9 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-692-41-31	Δ = 692	bi.bi = 41	b0.bi = 31	1 x (irr-D6-12) + 37 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-692-61-37	Δ = 692	bi.bi = 61	b0.bi = 37	13 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-694-51-33-a	Δ = 694	bi.bi = 51	b0.bi = 33	14 x (irr-D6-12) + 15 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-694-51-33-b	Δ = 694	bi.bi = 51	b0.bi = 33	11 x (irr-D6-12) + 20 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-694-90-44-a	Δ = 694	bi.bi = 90	b0.bi = 44	2 x (irr-D6-12) + 13 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-694-90-44-b	Δ = 694	bi.bi = 90	b0.bi = 44	5 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-694-90-44-c	Δ = 694	bi.bi = 90	b0.bi = 44	8 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-695-38-30	Δ = 695	bi.bi = 38	b0.bi = 30	6 x (irr-D6-12) + 30 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-695-77-41-a	Δ = 695	bi.bi = 77	b0.bi = 41	18 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-695-77-41-b	Δ = 695	bi.bi = 77	b0.bi = 41	3 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-698-35-29	Δ = 698	bi.bi = 35	b0.bi = 29	11 x (irr-D6-12) + 23 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-698-74-40-a	Δ = 698	bi.bi = 74	b0.bi = 40	5 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-698-74-40-b	Δ = 698	bi.bi = 74	b0.bi = 40	8 x (irr-D6-12) + 6 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-698-74-40-c	Δ = 698	bi.bi = 74	b0.bi = 40	2 x (irr-D6-12) + 16 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-699-61-37	Δ = 699	bi.bi = 61	b0.bi = 37	21 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-700-25-25	Δ = 700	bi.bi = 25	b0.bi = 25	25 x (irr-D6-12) + 25 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-702-58-36-a	Δ = 702	bi.bi = 58	b0.bi = 36	5 x (irr-D6-12) + 14 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-702-58-36-b	Δ = 702	bi.bi = 58	b0.bi = 36	2 x (irr-D6-12) + 19 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-704-48-32-a	Δ = 704	bi.bi = 48	b0.bi = 32	16 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-704-48-32-b	Δ = 704	bi.bi = 48	b0.bi = 32	19 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-705-35-29	Δ = 705	bi.bi = 35	b0.bi = 29	11 x (irr-D6-12) + 31 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-706-42-32	Δ = 706	bi.bi = 42	b0.bi = 32	2 x (irr-D6-12) + 22 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-708-32-28	Δ = 708	bi.bi = 32	b0.bi = 28	16 x (irr-D6-12) + 24 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-708-71-39-a	Δ = 708	bi.bi = 71	b0.bi = 39	10 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-708-71-39-b	Δ = 708	bi.bi = 71	b0.bi = 39	7 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-708-71-39-c	Δ = 708	bi.bi = 71	b0.bi = 39	13 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-709-58-36-a	Δ = 709	bi.bi = 58	b0.bi = 36	5 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-709-58-36-b	Δ = 709	bi.bi = 58	b0.bi = 36	2 x (irr-D6-12) + 27 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-710-22-24	Δ = 710	bi.bi = 22	b0.bi = 24	30 x (irr-D6-12) + 26 x (irr-D6-32-h)
vtx-D06-712-55-35-a	Δ = 712	bi.bi = 55	b0.bi = 35	10 x (irr-D6-12) + 15 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-712-55-35-b	Δ = 712	bi.bi = 55	b0.bi = 35	7 x (irr-D6-12) + 20 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-712-94-46-a	Δ = 712	bi.bi = 94	b0.bi = 46	4 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-712-94-46-b	Δ = 712	bi.bi = 94	b0.bi = 46	1 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-713-42-32	Δ = 713	bi.bi = 42	b0.bi = 32	2 x (irr-D6-12) + 30 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-714-45-31-a	Δ = 714	bi.bi = 45	b0.bi = 31	21 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-714-45-31-b	Δ = 714	bi.bi = 45	b0.bi = 31	24 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-715-32-28	Δ = 715	bi.bi = 32	b0.bi = 28	16 x (irr-D6-12) + 32 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-716-39-31	Δ = 716	bi.bi = 39	b0.bi = 31	7 x (irr-D6-12) + 23 x (irr-D6-32-h) + 5 x (irr-D6-66)
vtx-D06-716-78-42-a	Δ = 716	bi.bi = 78	b0.bi = 42	1 x (irr-D6-12) + 11 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-716-78-42-b	Δ = 716	bi.bi = 78	b0.bi = 42	4 x (irr-D6-12) + 6 x (irr-D6-32-h) + 3 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-718-29-27	Δ = 718	bi.bi = 29	b0.bi = 27	21 x (irr-D6-12) + 25 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-718-68-38-a	Δ = 718	bi.bi = 68	b0.bi = 38	15 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-718-68-38-b	Δ = 718	bi.bi = 68	b0.bi = 38	12 x (irr-D6-12) + 18 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-718-68-38-c	Δ = 718	bi.bi = 68	b0.bi = 38	18 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-220)
vtx-D06-719-55-35-a	Δ = 719	bi.bi = 55	b0.bi = 35	7 x (irr-D6-12) + 28 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-719-55-35-b	Δ = 719	bi.bi = 55	b0.bi = 35	10 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-720-42-32	Δ = 720	bi.bi = 42	b0.bi = 32	2 x (irr-D6-12) + 38 x (irr-D6-32-h) + 2 x (irr-D6-77)
vtx-D06-720-62-38	Δ = 720	bi.bi = 62	b0.bi = 38	1 x (irr-D6-12) + 14 x (irr-D6-32-h) + 5 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-722-52-34-a	Δ = 722	bi.bi = 52	b0.bi = 34	15 x (irr-D6-12) + 16 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-722-52-34-b	Δ = 722	bi.bi = 52	b0.bi = 34	12 x (irr-D6-12) + 21 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-722-91-45-a	Δ = 722	bi.bi = 91	b0.bi = 45	3 x (irr-D6-12) + 14 x (irr-D6-32-h) + 3 x (irr-D6-352a-h)
vtx-D06-722-91-45-b	Δ = 722	bi.bi = 91	b0.bi = 45	6 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-722-91-45-c	Δ = 722	bi.bi = 91	b0.bi = 45	9 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-723-39-31	Δ = 723	bi.bi = 39	b0.bi = 31	7 x (irr-D6-12) + 31 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-723-78-42-a	Δ = 723	bi.bi = 78	b0.bi = 42	4 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
vtx-D06-723-78-42-b	Δ = 723	bi.bi = 78	b0.bi = 42	1 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-726-36-30	Δ = 726	bi.bi = 36	b0.bi = 30	12 x (irr-D6-12) + 24 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-726-75-41-a	Δ = 726	bi.bi = 75	b0.bi = 41	9 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-726-75-41-b	Δ = 726	bi.bi = 75	b0.bi = 41	6 x (irr-D6-12) + 12 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-726-75-41-c	Δ = 726	bi.bi = 75	b0.bi = 41	3 x (irr-D6-12) + 17 x (irr-D6-32-h) + 2 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-726-114-52	Δ = 726	bi.bi = 114	b0.bi = 52	2 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-727-62-38	Δ = 727	bi.bi = 62	b0.bi = 38	1 x (irr-D6-12) + 22 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-727-116-50	Δ = 727	bi.bi = 116	b0.bi = 50	12 x (irr-D6-12) + 2 x (irr-D6-77) + 1 x (irr-D6-495)
vtx-D06-728-26-26	Δ = 728	bi.bi = 26	b0.bi = 26	26 x (irr-D6-12) + 26 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-730-59-37-a	Δ = 730	bi.bi = 59	b0.bi = 37	3 x (irr-D6-12) + 20 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-730-59-37-b	Δ = 730	bi.bi = 59	b0.bi = 37	6 x (irr-D6-12) + 15 x (irr-D6-32-h) + 4 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-730-98-48	Δ = 730	bi.bi = 98	b0.bi = 48	3 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-732-49-33-a	Δ = 732	bi.bi = 49	b0.bi = 33	20 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-732-49-33-b	Δ = 732	bi.bi = 49	b0.bi = 33	17 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-733-36-30	Δ = 733	bi.bi = 36	b0.bi = 30	12 x (irr-D6-12) + 32 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-734-43-33	Δ = 734	bi.bi = 43	b0.bi = 33	3 x (irr-D6-12) + 23 x (irr-D6-32-h) + 6 x (irr-D6-66)
vtx-D06-734-82-44	Δ = 734	bi.bi = 82	b0.bi = 44	6 x (irr-D6-32-h) + 4 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-736-33-29	Δ = 736	bi.bi = 33	b0.bi = 29	17 x (irr-D6-12) + 25 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-736-72-40-a	Δ = 736	bi.bi = 72	b0.bi = 40	14 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-736-72-40-b	Δ = 736	bi.bi = 72	b0.bi = 40	11 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-736-72-40-c	Δ = 736	bi.bi = 72	b0.bi = 40	8 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-737-59-37-a	Δ = 737	bi.bi = 59	b0.bi = 37	6 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-737-59-37-b	Δ = 737	bi.bi = 59	b0.bi = 37	3 x (irr-D6-12) + 28 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 1 x (irr-D6-352a-h)
vtx-D06-738-23-25	Δ = 738	bi.bi = 23	b0.bi = 25	31 x (irr-D6-12) + 27 x (irr-D6-32-h)
vtx-D06-740-56-36-a	Δ = 740	bi.bi = 56	b0.bi = 36	8 x (irr-D6-12) + 21 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-740-56-36-b	Δ = 740	bi.bi = 56	b0.bi = 36	11 x (irr-D6-12) + 16 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-740-95-47-a	Δ = 740	bi.bi = 95	b0.bi = 47	2 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-740-95-47-b	Δ = 740	bi.bi = 95	b0.bi = 47	5 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 2 x (irr-D6-220)
vtx-D06-741-43-33	Δ = 741	bi.bi = 43	b0.bi = 33	3 x (irr-D6-12) + 31 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-741-82-44	Δ = 741	bi.bi = 82	b0.bi = 44	14 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77) + 2 x (irr-D6-220)
