vtx-B05-n22-n4-n2	Δ = -22	bi.bi = -4	b0.bi = -2	3 x (irr-B5-11)
vtx-B05-346-16-14	Δ = 346	bi.bi = 16	b0.bi = 14	9 x (irr-B5-11) + 12 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-347-19-15	Δ = 347	bi.bi = 19	b0.bi = 15	3 x (irr-B5-11) + 19 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-351-13-13	Δ = 351	bi.bi = 13	b0.bi = 13	13 x (irr-B5-11) + 13 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-352-55-25	Δ = 352	bi.bi = 55	b0.bi = 25	1 x (irr-B5-11) + 1 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-356-10-12	Δ = 356	bi.bi = 10	b0.bi = 12	17 x (irr-B5-11) + 14 x (irr-B5-32-h)
vtx-B05-356-39-21	Δ = 356	bi.bi = 39	b0.bi = 21	3 x (irr-B5-11) + 3 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-357-52-24	Δ = 357	bi.bi = 52	b0.bi = 24	5 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-359-39-21	Δ = 359	bi.bi = 39	b0.bi = 21	9 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-361-36-20	Δ = 361	bi.bi = 36	b0.bi = 20	7 x (irr-B5-11) + 4 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-362-39-21	Δ = 362	bi.bi = 39	b0.bi = 21	1 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-363-23-17	Δ = 363	bi.bi = 23	b0.bi = 17	2 x (irr-B5-11) + 11 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-364-36-20	Δ = 364	bi.bi = 36	b0.bi = 20	4 x (irr-B5-11) + 10 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-366-33-19	Δ = 366	bi.bi = 33	b0.bi = 19	11 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-368-20-16	Δ = 368	bi.bi = 20	b0.bi = 16	6 x (irr-B5-11) + 12 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-369-23-17	Δ = 369	bi.bi = 23	b0.bi = 17	19 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-369-33-19	Δ = 369	bi.bi = 33	b0.bi = 19	8 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-371-30-18	Δ = 371	bi.bi = 30	b0.bi = 18	15 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-373-17-15	Δ = 373	bi.bi = 17	b0.bi = 15	10 x (irr-B5-11) + 13 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-374-20-16	Δ = 374	bi.bi = 20	b0.bi = 16	4 x (irr-B5-11) + 20 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-378-14-14	Δ = 378	bi.bi = 14	b0.bi = 14	14 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-378-43-23	Δ = 378	bi.bi = 43	b0.bi = 23	3 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-379-56-26	Δ = 379	bi.bi = 56	b0.bi = 26	2 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-383-11-13	Δ = 383	bi.bi = 11	b0.bi = 13	18 x (irr-B5-11) + 15 x (irr-B5-32-h)
vtx-B05-383-40-22	Δ = 383	bi.bi = 40	b0.bi = 22	4 x (irr-B5-11) + 4 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-384-53-25	Δ = 384	bi.bi = 53	b0.bi = 25	6 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-386-40-22	Δ = 386	bi.bi = 40	b0.bi = 22	1 x (irr-B5-11) + 10 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-388-37-21	Δ = 388	bi.bi = 37	b0.bi = 21	8 x (irr-B5-11) + 5 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-389-40-22	Δ = 389	bi.bi = 40	b0.bi = 22	2 x (irr-B5-11) + 12 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-390-24-18	Δ = 390	bi.bi = 24	b0.bi = 18	3 x (irr-B5-11) + 12 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-391-37-21	Δ = 391	bi.bi = 37	b0.bi = 21	5 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-393-34-20	Δ = 393	bi.bi = 34	b0.bi = 20	12 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-395-21-17	Δ = 395	bi.bi = 21	b0.bi = 17	7 x (irr-B5-11) + 13 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-396-24-18	Δ = 396	bi.bi = 24	b0.bi = 18	1 x (irr-B5-11) + 20 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-396-34-20	Δ = 396	bi.bi = 34	b0.bi = 20	9 x (irr-B5-11) + 12 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-398-31-19	Δ = 398	bi.bi = 31	b0.bi = 19	16 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-400-18-16	Δ = 400	bi.bi = 18	b0.bi = 16	11 x (irr-B5-11) + 14 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-401-21-17	Δ = 401	bi.bi = 21	b0.bi = 17	5 x (irr-B5-11) + 21 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-404-60-28	Δ = 404	bi.bi = 60	b0.bi = 28	4 x (irr-B5-32-h) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-405-15-15	Δ = 405	bi.bi = 15	b0.bi = 15	15 x (irr-B5-11) + 15 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-405-44-24	Δ = 405	bi.bi = 44	b0.bi = 24	1 x (irr-B5-11) + 4 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-406-57-27	Δ = 406	bi.bi = 57	b0.bi = 27	3 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-409-57-27	Δ = 409	bi.bi = 57	b0.bi = 27	9 x (irr-B5-32-h) + 2 x (irr-B5-320-h)
vtx-B05-410-12-14	Δ = 410	bi.bi = 12	b0.bi = 14	19 x (irr-B5-11) + 16 x (irr-B5-32-h)
vtx-B05-410-41-23	Δ = 410	bi.bi = 41	b0.bi = 23	5 x (irr-B5-11) + 5 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-411-54-26	Δ = 411	bi.bi = 54	b0.bi = 26	7 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-412-28-20	Δ = 412	bi.bi = 28	b0.bi = 20	12 x (irr-B5-32-h) + 5 x (irr-B5-55)
vtx-B05-413-41-23	Δ = 413	bi.bi = 41	b0.bi = 23	2 x (irr-B5-11) + 11 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-415-38-22	Δ = 415	bi.bi = 38	b0.bi = 22	9 x (irr-B5-11) + 6 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-416-41-23	Δ = 416	bi.bi = 41	b0.bi = 23	3 x (irr-B5-11) + 13 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-417-25-19	Δ = 417	bi.bi = 25	b0.bi = 19	4 x (irr-B5-11) + 13 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-418-38-22	Δ = 418	bi.bi = 38	b0.bi = 22	6 x (irr-B5-11) + 12 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-420-35-21	Δ = 420	bi.bi = 35	b0.bi = 21	13 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-422-22-18	Δ = 422	bi.bi = 22	b0.bi = 18	8 x (irr-B5-11) + 14 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-423-25-19	Δ = 423	bi.bi = 25	b0.bi = 19	2 x (irr-B5-11) + 21 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-423-35-21	Δ = 423	bi.bi = 35	b0.bi = 21	10 x (irr-B5-11) + 13 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-425-32-20	Δ = 425	bi.bi = 32	b0.bi = 20	17 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-427-19-17	Δ = 427	bi.bi = 19	b0.bi = 17	12 x (irr-B5-11) + 15 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-428-22-18	Δ = 428	bi.bi = 22	b0.bi = 18	6 x (irr-B5-11) + 22 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-428-61-29	Δ = 428	bi.bi = 61	b0.bi = 29	3 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-431-61-29	Δ = 431	bi.bi = 61	b0.bi = 29	1 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-432-16-16	Δ = 432	bi.bi = 16	b0.bi = 16	16 x (irr-B5-11) + 16 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-432-45-25	Δ = 432	bi.bi = 45	b0.bi = 25	2 x (irr-B5-11) + 5 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-433-58-28	Δ = 433	bi.bi = 58	b0.bi = 28	4 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-436-58-28	Δ = 436	bi.bi = 58	b0.bi = 28	1 x (irr-B5-11) + 10 x (irr-B5-32-h) + 2 x (irr-B5-320-h)
vtx-B05-437-13-15	Δ = 437	bi.bi = 13	b0.bi = 15	20 x (irr-B5-11) + 17 x (irr-B5-32-h)
vtx-B05-437-42-24	Δ = 437	bi.bi = 42	b0.bi = 24	6 x (irr-B5-11) + 6 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-438-45-25	Δ = 438	bi.bi = 45	b0.bi = 25	13 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-438-55-27	Δ = 438	bi.bi = 55	b0.bi = 27	8 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-439-29-21	Δ = 439	bi.bi = 29	b0.bi = 21	1 x (irr-B5-11) + 13 x (irr-B5-32-h) + 5 x (irr-B5-55)
vtx-B05-440-42-24	Δ = 440	bi.bi = 42	b0.bi = 24	3 x (irr-B5-11) + 12 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-440-52-26	Δ = 440	bi.bi = 52	b0.bi = 26	15 x (irr-B5-11) + 2 x (irr-B5-165)
vtx-B05-442-39-23	Δ = 442	bi.bi = 39	b0.bi = 23	10 x (irr-B5-11) + 7 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-443-42-24	Δ = 443	bi.bi = 42	b0.bi = 24	4 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-444-26-20	Δ = 444	bi.bi = 26	b0.bi = 20	5 x (irr-B5-11) + 14 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-445-39-23	Δ = 445	bi.bi = 39	b0.bi = 23	7 x (irr-B5-11) + 13 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-447-36-22	Δ = 447	bi.bi = 36	b0.bi = 22	14 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-449-23-19	Δ = 449	bi.bi = 23	b0.bi = 19	9 x (irr-B5-11) + 15 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-450-26-20	Δ = 450	bi.bi = 26	b0.bi = 20	3 x (irr-B5-11) + 22 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-450-36-22	Δ = 450	bi.bi = 36	b0.bi = 22	11 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-452-33-21	Δ = 452	bi.bi = 33	b0.bi = 21	18 x (irr-B5-11) + 9 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-454-20-18	Δ = 454	bi.bi = 20	b0.bi = 18	13 x (irr-B5-11) + 16 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-455-23-19	Δ = 455	bi.bi = 23	b0.bi = 19	7 x (irr-B5-11) + 23 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-455-62-30	Δ = 455	bi.bi = 62	b0.bi = 30	1 x (irr-B5-11) + 4 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-458-62-30	Δ = 458	bi.bi = 62	b0.bi = 30	2 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
