vtx-C02-261-256-48	Δ = 261	bi.bi = 256	b0.bi = 48	4 x (irr-C2-4) + 5 x (irr-C2-16-h) + 1 x (irr-C2-20) + 1 x (irr-C2-40-h) + 5 x (irr-C2-35a)
vtx-C02-261-289-51	Δ = 261	bi.bi = 289	b0.bi = 51	1 x (irr-C2-4) + 1 x (irr-C2-16-h) + 1 x (irr-C2-10) + 1 x (irr-C2-14) + 5 x (irr-C2-20) + 1 x (irr-C2-30) + 3 x (irr-C2-35a)
vtx-C02-261-625-75	Δ = 261	bi.bi = 625	b0.bi = 75	1 x (irr-C2-16-h) + 1 x (irr-C2-14) + 1 x (irr-C2-20) + 1 x (irr-C2-40-h) + 4 x (irr-C2-64-h) + 1 x (irr-C2-81)
vtx-C02-262-64-24-a	Δ = 262	bi.bi = 64	b0.bi = 24	12 x (irr-C2-4) + 10 x (irr-C2-5) + 2 x (irr-C2-16-h) + 13 x (irr-C2-10) + 2 x (irr-C2-14)
vtx-C02-262-64-24-b	Δ = 262	bi.bi = 64	b0.bi = 24	20 x (irr-C2-4) + 2 x (irr-C2-5) + 14 x (irr-C2-16-h) + 7 x (irr-C2-10)
vtx-C02-262-64-24-c	Δ = 262	bi.bi = 64	b0.bi = 24	16 x (irr-C2-4) + 6 x (irr-C2-5) + 8 x (irr-C2-16-h) + 10 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-262-81-27	Δ = 262	bi.bi = 81	b0.bi = 27	12 x (irr-C2-4) + 4 x (irr-C2-16-h) + 15 x (irr-C2-10) + 3 x (irr-C2-14)
vtx-C02-262-169-39	Δ = 262	bi.bi = 169	b0.bi = 39	7 x (irr-C2-4) + 2 x (irr-C2-16-h) + 3 x (irr-C2-10) + 7 x (irr-C2-14) + 5 x (irr-C2-20)
vtx-C02-262-196-42	Δ = 262	bi.bi = 196	b0.bi = 42	1 x (irr-C2-4) + 3 x (irr-C2-5) + 7 x (irr-C2-16-h) + 2 x (irr-C2-10) + 3 x (irr-C2-14) + 4 x (irr-C2-20) + 1 x (irr-C2-40-h) + 1 x (irr-C2-35a)
vtx-C02-262-225-45	Δ = 262	bi.bi = 225	b0.bi = 45	2 x (irr-C2-4) + 1 x (irr-C2-5) + 5 x (irr-C2-16-h) + 3 x (irr-C2-10) + 1 x (irr-C2-14) + 5 x (irr-C2-35a)
vtx-C02-262-676-78	Δ = 262	bi.bi = 676	b0.bi = 78	1 x (irr-C2-5) + 1 x (irr-C2-14) + 2 x (irr-C2-40-h) + 2 x (irr-C2-56-h) + 3 x (irr-C2-30) + 1 x (irr-C2-64-h) + 1 x (irr-C2-35b)
vtx-C02-263-144-36-a	Δ = 263	bi.bi = 144	b0.bi = 36	4 x (irr-C2-4) + 2 x (irr-C2-5) + 13 x (irr-C2-16-h) + 4 x (irr-C2-10) + 2 x (irr-C2-14) + 2 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-263-144-36-b	Δ = 263	bi.bi = 144	b0.bi = 36	6 x (irr-C2-5) + 7 x (irr-C2-16-h) + 7 x (irr-C2-10) + 3 x (irr-C2-14) + 2 x (irr-C2-20) + 1 x (irr-C2-35a)
vtx-C02-263-169-39	Δ = 263	bi.bi = 169	b0.bi = 39	1 x (irr-C2-4) + 3 x (irr-C2-5) + 9 x (irr-C2-16-h) + 4 x (irr-C2-10) + 3 x (irr-C2-14) + 4 x (irr-C2-20) + 1 x (irr-C2-40-h)
vtx-C02-263-256-48	Δ = 263	bi.bi = 256	b0.bi = 48	1 x (irr-C2-5) + 3 x (irr-C2-16-h) + 3 x (irr-C2-10) + 1 x (irr-C2-14) + 6 x (irr-C2-20) + 4 x (irr-C2-40-h)
vtx-C02-263-324-54-a	Δ = 263	bi.bi = 324	b0.bi = 54	1 x (irr-C2-4) + 1 x (irr-C2-5) + 4 x (irr-C2-16-h) + 1 x (irr-C2-20) + 2 x (irr-C2-40-h) + 1 x (irr-C2-64-h) + 4 x (irr-C2-35a)
vtx-C02-263-324-54-b	Δ = 263	bi.bi = 324	b0.bi = 54	1 x (irr-C2-4) + 5 x (irr-C2-16-h) + 1 x (irr-C2-14) + 4 x (irr-C2-20) + 5 x (irr-C2-40-h) + 1 x (irr-C2-35b)
vtx-C02-263-361-57	Δ = 263	bi.bi = 361	b0.bi = 57	2 x (irr-C2-16-h) + 6 x (irr-C2-20) + 2 x (irr-C2-40-h) + 1 x (irr-C2-30) + 1 x (irr-C2-64-h) + 1 x (irr-C2-35a)
vtx-C02-264-100-30-a	Δ = 264	bi.bi = 100	b0.bi = 30	16 x (irr-C2-5) + 7 x (irr-C2-16-h) + 7 x (irr-C2-10) + 2 x (irr-C2-14) + 2 x (irr-C2-20)
vtx-C02-264-100-30-b	Δ = 264	bi.bi = 100	b0.bi = 30	4 x (irr-C2-4) + 12 x (irr-C2-5) + 13 x (irr-C2-16-h) + 4 x (irr-C2-10) + 1 x (irr-C2-14) + 2 x (irr-C2-20)
vtx-C02-264-100-30-c	Δ = 264	bi.bi = 100	b0.bi = 30	8 x (irr-C2-4) + 8 x (irr-C2-5) + 19 x (irr-C2-16-h) + 1 x (irr-C2-10) + 2 x (irr-C2-20)
vtx-C02-264-121-33	Δ = 264	bi.bi = 121	b0.bi = 33	3 x (irr-C2-4) + 10 x (irr-C2-5) + 13 x (irr-C2-16-h) + 2 x (irr-C2-10) + 2 x (irr-C2-14) + 3 x (irr-C2-20)
vtx-C02-264-196-42	Δ = 264	bi.bi = 196	b0.bi = 42	7 x (irr-C2-5) + 7 x (irr-C2-16-h) + 1 x (irr-C2-10) + 2 x (irr-C2-14) + 2 x (irr-C2-20) + 3 x (irr-C2-35a)
vtx-C02-264-361-57	Δ = 264	bi.bi = 361	b0.bi = 57	7 x (irr-C2-16-h) + 2 x (irr-C2-14) + 1 x (irr-C2-20) + 5 x (irr-C2-40-h) + 2 x (irr-C2-35b)
vtx-C02-265-25-15	Δ = 265	bi.bi = 25	b0.bi = 15	50 x (irr-C2-4) + 5 x (irr-C2-5) + 5 x (irr-C2-16-h) + 1 x (irr-C2-10)
vtx-C02-265-49-21	Δ = 265	bi.bi = 49	b0.bi = 21	11 x (irr-C2-4) + 29 x (irr-C2-5) + 2 x (irr-C2-16-h) + 5 x (irr-C2-10) + 1 x (irr-C2-20)
vtx-C02-265-100-30	Δ = 265	bi.bi = 100	b0.bi = 30	7 x (irr-C2-4) + 3 x (irr-C2-5) + 2 x (irr-C2-16-h) + 14 x (irr-C2-10) + 4 x (irr-C2-14) + 1 x (irr-C2-20)
vtx-C02-265-121-33	Δ = 265	bi.bi = 121	b0.bi = 33	6 x (irr-C2-4) + 1 x (irr-C2-5) + 2 x (irr-C2-16-h) + 12 x (irr-C2-10) + 5 x (irr-C2-14) + 2 x (irr-C2-20)
vtx-C02-265-144-36	Δ = 265	bi.bi = 144	b0.bi = 36	2 x (irr-C2-4) + 1 x (irr-C2-5) + 11 x (irr-C2-16-h) + 9 x (irr-C2-10) + 1 x (irr-C2-14) + 2 x (irr-C2-35a)
vtx-C02-265-169-39-a	Δ = 265	bi.bi = 169	b0.bi = 39	7 x (irr-C2-5) + 9 x (irr-C2-16-h) + 3 x (irr-C2-10) + 2 x (irr-C2-14) + 2 x (irr-C2-20) + 2 x (irr-C2-35a)
vtx-C02-265-169-39-b	Δ = 265	bi.bi = 169	b0.bi = 39	4 x (irr-C2-4) + 3 x (irr-C2-5) + 15 x (irr-C2-16-h) + 1 x (irr-C2-14) + 2 x (irr-C2-20) + 2 x (irr-C2-35a)
vtx-C02-265-289-51	Δ = 265	bi.bi = 289	b0.bi = 51	1 x (irr-C2-5) + 5 x (irr-C2-16-h) + 8 x (irr-C2-20) + 2 x (irr-C2-40-h) + 1 x (irr-C2-30)
vtx-C02-265-324-54	Δ = 265	bi.bi = 324	b0.bi = 54	1 x (irr-C2-4) + 8 x (irr-C2-14) + 3 x (irr-C2-20) + 2 x (irr-C2-64-h) + 1 x (irr-C2-35a)
vtx-C02-266-49-21-a	Δ = 266	bi.bi = 49	b0.bi = 21	22 x (irr-C2-4) + 12 x (irr-C2-5) + 3 x (irr-C2-16-h) + 9 x (irr-C2-10) + 1 x (irr-C2-14)
vtx-C02-266-49-21-b	Δ = 266	bi.bi = 49	b0.bi = 21	26 x (irr-C2-4) + 8 x (irr-C2-5) + 9 x (irr-C2-16-h) + 6 x (irr-C2-10)
vtx-C02-266-100-30-a	Δ = 266	bi.bi = 100	b0.bi = 30	2 x (irr-C2-4) + 11 x (irr-C2-5) + 11 x (irr-C2-16-h) + 9 x (irr-C2-10) + 1 x (irr-C2-35a)
