vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	
vtx-E07-777-44-34	Δ = 777	bi.bi = 44	b0.bi = 34	4 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-778-80-44	Δ = 778	bi.bi = 80	b0.bi = 44	2 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-779-116-54	Δ = 779	bi.bi = 116	b0.bi = 54	2 x (irr-E7-912-h)
vtx-E07-784-28-28	Δ = 784	bi.bi = 28	b0.bi = 28	28 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-784-41-33	Δ = 784	bi.bi = 41	b0.bi = 33	9 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-785-77-43	Δ = 785	bi.bi = 77	b0.bi = 43	7 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-791-25-27	Δ = 791	bi.bi = 25	b0.bi = 27	33 x (irr-E7-56-h)
vtx-E07-791-38-32	Δ = 791	bi.bi = 38	b0.bi = 32	14 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-792-74-42	Δ = 792	bi.bi = 74	b0.bi = 42	12 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-798-35-31	Δ = 798	bi.bi = 35	b0.bi = 31	19 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-798-48-36	Δ = 798	bi.bi = 48	b0.bi = 36	7 x (irr-E7-133)
vtx-E07-799-71-41	Δ = 799	bi.bi = 71	b0.bi = 41	17 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-805-32-30	Δ = 805	bi.bi = 32	b0.bi = 30	24 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-805-45-35	Δ = 805	bi.bi = 45	b0.bi = 35	5 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-806-81-45	Δ = 806	bi.bi = 81	b0.bi = 45	3 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-807-117-55	Δ = 807	bi.bi = 117	b0.bi = 55	1 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-812-29-29	Δ = 812	bi.bi = 29	b0.bi = 29	29 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-812-42-34	Δ = 812	bi.bi = 42	b0.bi = 34	10 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-813-78-44	Δ = 813	bi.bi = 78	b0.bi = 44	8 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-819-26-28	Δ = 819	bi.bi = 26	b0.bi = 28	34 x (irr-E7-56-h)
vtx-E07-819-39-33	Δ = 819	bi.bi = 39	b0.bi = 33	15 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-820-75-43	Δ = 820	bi.bi = 75	b0.bi = 43	13 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-826-36-32	Δ = 826	bi.bi = 36	b0.bi = 32	20 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-826-49-37	Δ = 826	bi.bi = 49	b0.bi = 37	1 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-827-72-42	Δ = 827	bi.bi = 72	b0.bi = 42	18 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-833-33-31	Δ = 833	bi.bi = 33	b0.bi = 31	25 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-833-46-36	Δ = 833	bi.bi = 46	b0.bi = 36	6 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-834-82-46	Δ = 834	bi.bi = 82	b0.bi = 46	4 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-835-118-56	Δ = 835	bi.bi = 118	b0.bi = 56	2 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-840-30-30	Δ = 840	bi.bi = 30	b0.bi = 30	30 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-840-43-35	Δ = 840	bi.bi = 43	b0.bi = 35	11 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-841-79-45	Δ = 841	bi.bi = 79	b0.bi = 45	9 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-847-27-29	Δ = 847	bi.bi = 27	b0.bi = 29	35 x (irr-E7-56-h)
vtx-E07-847-40-34	Δ = 847	bi.bi = 40	b0.bi = 34	16 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-848-76-44	Δ = 848	bi.bi = 76	b0.bi = 44	14 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-854-37-33	Δ = 854	bi.bi = 37	b0.bi = 33	21 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-854-50-38	Δ = 854	bi.bi = 50	b0.bi = 38	2 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-855-73-43	Δ = 855	bi.bi = 73	b0.bi = 43	19 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-855-86-48	Δ = 855	bi.bi = 86	b0.bi = 48	4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-861-34-32	Δ = 861	bi.bi = 34	b0.bi = 32	26 x (irr-E7-56-h) + 2 x (irr-E7-133)
