vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-111-90-18	Δ = 111	bi.bi = 90	b0.bi = 18	1 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-111-135-21	Δ = 111	bi.bi = 135	b0.bi = 21	3 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-112-8-6	Δ = 112	bi.bi = 8	b0.bi = 6	14 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-112-16-8	Δ = 112	bi.bi = 16	b0.bi = 8	8 x (irr-G2-7) + 5 x (irr-G2-14)
vtx-G02-112-24-10	Δ = 112	bi.bi = 24	b0.bi = 10	2 x (irr-G2-7) + 8 x (irr-G2-14)
vtx-G02-112-58-14	Δ = 112	bi.bi = 58	b0.bi = 14	5 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-112-85-17	Δ = 112	bi.bi = 85	b0.bi = 17	3 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-112-130-20	Δ = 112	bi.bi = 130	b0.bi = 20	5 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-113-53-13	Δ = 113	bi.bi = 53	b0.bi = 13	7 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-113-61-15	Δ = 113	bi.bi = 61	b0.bi = 15	1 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-114-98-20	Δ = 114	bi.bi = 98	b0.bi = 20	2 x (irr-G2-64)
vtx-G02-116-26-10	Δ = 116	bi.bi = 26	b0.bi = 10	7 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-116-34-12	Δ = 116	bi.bi = 34	b0.bi = 12	1 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-117-21-9	Δ = 117	bi.bi = 21	b0.bi = 9	9 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-117-29-11	Δ = 117	bi.bi = 29	b0.bi = 11	3 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-117-143-23	Δ = 117	bi.bi = 143	b0.bi = 23	2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-118-16-8	Δ = 118	bi.bi = 16	b0.bi = 8	11 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-118-24-10	Δ = 118	bi.bi = 24	b0.bi = 10	5 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-118-66-16	Δ = 118	bi.bi = 66	b0.bi = 16	2 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-118-93-19	Δ = 118	bi.bi = 93	b0.bi = 19	2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-118-138-22	Δ = 118	bi.bi = 138	b0.bi = 22	2 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-119-3-5	Δ = 119	bi.bi = 3	b0.bi = 5	19 x (irr-G2-7)
vtx-G02-119-11-7	Δ = 119	bi.bi = 11	b0.bi = 7	13 x (irr-G2-7) + 3 x (irr-G2-14)
