vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-318-78-30	Δ = 318	bi.bi = 78	b0.bi = 30	6 x (irr-G2-7) + 13 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-318-86-32	Δ = 318	bi.bi = 86	b0.bi = 32	16 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-318-100-34	Δ = 318	bi.bi = 100	b0.bi = 34	3 x (irr-G2-7) + 1 x (irr-G2-14) + 11 x (irr-G2-27)
vtx-G02-318-104-32	Δ = 318	bi.bi = 104	b0.bi = 32	15 x (irr-G2-7) + 2 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-318-112-34	Δ = 318	bi.bi = 112	b0.bi = 34	9 x (irr-G2-7) + 5 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-318-120-36	Δ = 318	bi.bi = 120	b0.bi = 36	3 x (irr-G2-7) + 8 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-318-123-33	Δ = 318	bi.bi = 123	b0.bi = 33	19 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-318-131-35	Δ = 318	bi.bi = 131	b0.bi = 35	13 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-318-139-37	Δ = 318	bi.bi = 139	b0.bi = 37	7 x (irr-G2-7) + 7 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-318-147-39	Δ = 318	bi.bi = 147	b0.bi = 39	1 x (irr-G2-7) + 10 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-318-154-40	Δ = 318	bi.bi = 154	b0.bi = 40	6 x (irr-G2-7) + 6 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-318-158-38	Δ = 318	bi.bi = 158	b0.bi = 38	18 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-318-162-42	Δ = 318	bi.bi = 162	b0.bi = 42	3 x (irr-G2-14) + 6 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-318-166-40	Δ = 318	bi.bi = 166	b0.bi = 40	12 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-318-168-36	Δ = 318	bi.bi = 168	b0.bi = 36	21 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-318-174-42	Δ = 318	bi.bi = 174	b0.bi = 42	6 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-318-176-38	Δ = 318	bi.bi = 176	b0.bi = 38	15 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-318-181-43	Δ = 318	bi.bi = 181	b0.bi = 43	4 x (irr-G2-7) + 2 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-318-182-44	Δ = 318	bi.bi = 182	b0.bi = 44	10 x (irr-G2-14) + 3 x (irr-G2-64)
vtx-G02-318-184-40	Δ = 318	bi.bi = 184	b0.bi = 40	9 x (irr-G2-7) + 6 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-318-192-42	Δ = 318	bi.bi = 192	b0.bi = 42	3 x (irr-G2-7) + 9 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-318-200-44	Δ = 318	bi.bi = 200	b0.bi = 44	8 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-318-208-46	Δ = 318	bi.bi = 208	b0.bi = 46	2 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-318-216-48	Δ = 318	bi.bi = 216	b0.bi = 48	3 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 4 x (irr-G2-64)
vtx-G02-318-226-46	Δ = 318	bi.bi = 226	b0.bi = 46	6 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-318-234-48	Δ = 318	bi.bi = 234	b0.bi = 48	4 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-318-235-49	Δ = 318	bi.bi = 235	b0.bi = 49	7 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-318-243-51	Δ = 318	bi.bi = 243	b0.bi = 51	1 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-318-245-47	Δ = 318	bi.bi = 245	b0.bi = 47	10 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-318-253-49	Δ = 318	bi.bi = 253	b0.bi = 49	4 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-318-280-52	Δ = 318	bi.bi = 280	b0.bi = 52	9 x (irr-G2-7) + 3 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-318-288-54	Δ = 318	bi.bi = 288	b0.bi = 54	3 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-318-298-52	Δ = 318	bi.bi = 298	b0.bi = 52	6 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-318-306-54	Δ = 318	bi.bi = 306	b0.bi = 54	5 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-318-397-61	Δ = 318	bi.bi = 397	b0.bi = 61	3 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-318-482-66	Δ = 318	bi.bi = 482	b0.bi = 66	2 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-319-41-21	Δ = 319	bi.bi = 41	b0.bi = 21	32 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-49-23	Δ = 319	bi.bi = 49	b0.bi = 23	26 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-57-25	Δ = 319	bi.bi = 57	b0.bi = 25	20 x (irr-G2-7) + 8 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-65-27	Δ = 319	bi.bi = 65	b0.bi = 27	14 x (irr-G2-7) + 11 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-73-29	Δ = 319	bi.bi = 73	b0.bi = 29	8 x (irr-G2-7) + 14 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-81-31	Δ = 319	bi.bi = 81	b0.bi = 31	2 x (irr-G2-7) + 17 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-319-91-29	Δ = 319	bi.bi = 91	b0.bi = 29	23 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-319-95-33	Δ = 319	bi.bi = 95	b0.bi = 33	5 x (irr-G2-7) + 2 x (irr-G2-14) + 10 x (irr-G2-27)
vtx-G02-319-99-31	Δ = 319	bi.bi = 99	b0.bi = 31	17 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-319-107-33	Δ = 319	bi.bi = 107	b0.bi = 33	11 x (irr-G2-7) + 6 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-319-115-35	Δ = 319	bi.bi = 115	b0.bi = 35	5 x (irr-G2-7) + 9 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-319-118-32	Δ = 319	bi.bi = 118	b0.bi = 32	21 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-319-126-34	Δ = 319	bi.bi = 126	b0.bi = 34	15 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-319-134-36	Δ = 319	bi.bi = 134	b0.bi = 36	9 x (irr-G2-7) + 8 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-319-142-38	Δ = 319	bi.bi = 142	b0.bi = 38	3 x (irr-G2-7) + 11 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-319-149-39	Δ = 319	bi.bi = 149	b0.bi = 39	8 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-319-157-41	Δ = 319	bi.bi = 157	b0.bi = 41	2 x (irr-G2-7) + 4 x (irr-G2-14) + 5 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-319-163-35	Δ = 319	bi.bi = 163	b0.bi = 35	23 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-319-168-40	Δ = 319	bi.bi = 168	b0.bi = 40	12 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-319-171-37	Δ = 319	bi.bi = 171	b0.bi = 37	17 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-319-176-42	Δ = 319	bi.bi = 176	b0.bi = 42	6 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-319-179-39	Δ = 319	bi.bi = 179	b0.bi = 39	11 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-319-184-44	Δ = 319	bi.bi = 184	b0.bi = 44	6 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-319-187-41	Δ = 319	bi.bi = 187	b0.bi = 41	5 x (irr-G2-7) + 10 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-319-195-43	Δ = 319	bi.bi = 195	b0.bi = 43	10 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-319-203-45-a	Δ = 319	bi.bi = 203	b0.bi = 45	4 x (irr-G2-7) + 5 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-319-203-45-b	Δ = 319	bi.bi = 203	b0.bi = 45	11 x (irr-G2-7) + 4 x (irr-G2-64)
vtx-G02-319-211-47	Δ = 319	bi.bi = 211	b0.bi = 47	5 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-64)
vtx-G02-319-221-45	Δ = 319	bi.bi = 221	b0.bi = 45	8 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-319-229-47	Δ = 319	bi.bi = 229	b0.bi = 47	2 x (irr-G2-7) + 5 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-319-240-46	Δ = 319	bi.bi = 240	b0.bi = 46	12 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-319-245-51	Δ = 319	bi.bi = 245	b0.bi = 51	1 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77a)
vtx-G02-319-248-48	Δ = 319	bi.bi = 248	b0.bi = 48	6 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-319-256-50	Δ = 319	bi.bi = 256	b0.bi = 50	7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-319-280-56	Δ = 319	bi.bi = 280	b0.bi = 56	4 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-319-285-49	Δ = 319	bi.bi = 285	b0.bi = 49	14 x (irr-G2-7) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-319-293-51	Δ = 319	bi.bi = 293	b0.bi = 51	8 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-319-301-53	Δ = 319	bi.bi = 301	b0.bi = 53	2 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-319-317-57	Δ = 319	bi.bi = 317	b0.bi = 57	1 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 2 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-319-362-60	Δ = 319	bi.bi = 362	b0.bi = 60	3 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-77a) + 2 x (irr-G2-77b)
vtx-G02-319-392-60	Δ = 319	bi.bi = 392	b0.bi = 60	5 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-319-469-63	Δ = 319	bi.bi = 469	b0.bi = 63	10 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-319-477-65	Δ = 319	bi.bi = 477	b0.bi = 65	4 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-320-28-18	Δ = 320	bi.bi = 28	b0.bi = 18	40 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-320-36-20	Δ = 320	bi.bi = 36	b0.bi = 20	34 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-44-22	Δ = 320	bi.bi = 44	b0.bi = 22	28 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-52-24	Δ = 320	bi.bi = 52	b0.bi = 24	22 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-60-26	Δ = 320	bi.bi = 60	b0.bi = 26	16 x (irr-G2-7) + 12 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-68-28	Δ = 320	bi.bi = 68	b0.bi = 28	10 x (irr-G2-7) + 15 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-76-30	Δ = 320	bi.bi = 76	b0.bi = 30	4 x (irr-G2-7) + 18 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-320-82-30	Δ = 320	bi.bi = 82	b0.bi = 30	13 x (irr-G2-7) + 9 x (irr-G2-27)
vtx-G02-320-86-28	Δ = 320	bi.bi = 86	b0.bi = 28	25 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-320-90-32	Δ = 320	bi.bi = 90	b0.bi = 32	7 x (irr-G2-7) + 3 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-320-94-30	Δ = 320	bi.bi = 94	b0.bi = 30	19 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-320-98-34	Δ = 320	bi.bi = 98	b0.bi = 34	1 x (irr-G2-7) + 6 x (irr-G2-14) + 9 x (irr-G2-27)
vtx-G02-320-102-32	Δ = 320	bi.bi = 102	b0.bi = 32	13 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-320-105-29	Δ = 320	bi.bi = 105	b0.bi = 29	29 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-110-34	Δ = 320	bi.bi = 110	b0.bi = 34	7 x (irr-G2-7) + 10 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-320-113-31	Δ = 320	bi.bi = 113	b0.bi = 31	23 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-118-36	Δ = 320	bi.bi = 118	b0.bi = 36	1 x (irr-G2-7) + 13 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-320-121-33	Δ = 320	bi.bi = 121	b0.bi = 33	17 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-129-35	Δ = 320	bi.bi = 129	b0.bi = 35	11 x (irr-G2-7) + 9 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-137-37	Δ = 320	bi.bi = 137	b0.bi = 37	5 x (irr-G2-7) + 12 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-144-38	Δ = 320	bi.bi = 144	b0.bi = 38	10 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-320-152-40	Δ = 320	bi.bi = 152	b0.bi = 40	4 x (irr-G2-7) + 5 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-320-158-34	Δ = 320	bi.bi = 158	b0.bi = 34	25 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-320-159-41	Δ = 320	bi.bi = 159	b0.bi = 41	2 x (irr-G2-7) + 9 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-320-163-39	Δ = 320	bi.bi = 163	b0.bi = 39	14 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-320-166-36	Δ = 320	bi.bi = 166	b0.bi = 36	19 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-320-171-41	Δ = 320	bi.bi = 171	b0.bi = 41	8 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-320-174-38	Δ = 320	bi.bi = 174	b0.bi = 38	13 x (irr-G2-7) + 8 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-320-179-43	Δ = 320	bi.bi = 179	b0.bi = 43	2 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-320-182-40-a	Δ = 320	bi.bi = 182	b0.bi = 40	18 x (irr-G2-7) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-320-182-40-b	Δ = 320	bi.bi = 182	b0.bi = 40	7 x (irr-G2-7) + 11 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-320-190-42-a	Δ = 320	bi.bi = 190	b0.bi = 42	1 x (irr-G2-7) + 14 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-320-190-42-b	Δ = 320	bi.bi = 190	b0.bi = 42	12 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-320-194-46	Δ = 320	bi.bi = 194	b0.bi = 46	1 x (irr-G2-7) + 5 x (irr-G2-27) + 3 x (irr-G2-64)
vtx-G02-320-198-44	Δ = 320	bi.bi = 198	b0.bi = 44	6 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-320-206-46	Δ = 320	bi.bi = 206	b0.bi = 46	9 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-320-208-42	Δ = 320	bi.bi = 208	b0.bi = 42	16 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-320-216-44	Δ = 320	bi.bi = 216	b0.bi = 44	10 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-320-224-46	Δ = 320	bi.bi = 224	b0.bi = 46	4 x (irr-G2-7) + 6 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-320-235-45	Δ = 320	bi.bi = 235	b0.bi = 45	14 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-320-240-50	Δ = 320	bi.bi = 240	b0.bi = 50	3 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77a)
vtx-G02-320-243-47	Δ = 320	bi.bi = 243	b0.bi = 47	8 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-320-251-49	Δ = 320	bi.bi = 251	b0.bi = 49	2 x (irr-G2-7) + 8 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-320-259-51	Δ = 320	bi.bi = 259	b0.bi = 51	7 x (irr-G2-7) + 2 x (irr-G2-27) + 3 x (irr-G2-77a)
vtx-G02-320-266-52	Δ = 320	bi.bi = 266	b0.bi = 52	1 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-320-267-53	Δ = 320	bi.bi = 267	b0.bi = 53	1 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 3 x (irr-G2-77a)
vtx-G02-320-280-48	Δ = 320	bi.bi = 280	b0.bi = 48	16 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-320-285-53	Δ = 320	bi.bi = 285	b0.bi = 53	5 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-320-288-50	Δ = 320	bi.bi = 288	b0.bi = 50	10 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-320-296-52	Δ = 320	bi.bi = 296	b0.bi = 52	4 x (irr-G2-7) + 7 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-320-312-56	Δ = 320	bi.bi = 312	b0.bi = 56	3 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-320-338-58	Δ = 320	bi.bi = 338	b0.bi = 58	1 x (irr-G2-7) + 2 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-320-357-59	Δ = 320	bi.bi = 357	b0.bi = 59	5 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 2 x (irr-G2-77b)
vtx-G02-320-379-57	Δ = 320	bi.bi = 379	b0.bi = 57	13 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-320-387-59	Δ = 320	bi.bi = 387	b0.bi = 59	7 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-320-395-61	Δ = 320	bi.bi = 395	b0.bi = 61	1 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-320-402-62	Δ = 320	bi.bi = 402	b0.bi = 62	7 x (irr-G2-7) + 2 x (irr-G2-27) + 3 x (irr-G2-77b)
vtx-G02-320-410-64	Δ = 320	bi.bi = 410	b0.bi = 64	1 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 3 x (irr-G2-77b)
vtx-G02-320-456-68	Δ = 320	bi.bi = 456	b0.bi = 68	2 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-189)
vtx-G02-320-464-62	Δ = 320	bi.bi = 464	b0.bi = 62	12 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-320-472-64	Δ = 320	bi.bi = 472	b0.bi = 64	6 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-320-480-66	Δ = 320	bi.bi = 480	b0.bi = 66	7 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-320-541-73	Δ = 320	bi.bi = 541	b0.bi = 73	1 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-182)
vtx-G02-320-586-76	Δ = 320	bi.bi = 586	b0.bi = 76	3 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-77b) + 1 x (irr-G2-182)
vtx-G02-320-960-98	Δ = 320	bi.bi = 960	b0.bi = 98	3 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-286)
vtx-G02-320-1536-122	Δ = 320	bi.bi = 1536	b0.bi = 122	1 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-273)
vtx-G02-321-23-17	Δ = 321	bi.bi = 23	b0.bi = 17	42 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-31-19	Δ = 321	bi.bi = 31	b0.bi = 19	36 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-39-21	Δ = 321	bi.bi = 39	b0.bi = 21	30 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-47-23	Δ = 321	bi.bi = 47	b0.bi = 23	24 x (irr-G2-7) + 10 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-55-25	Δ = 321	bi.bi = 55	b0.bi = 25	18 x (irr-G2-7) + 13 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-63-27	Δ = 321	bi.bi = 63	b0.bi = 27	12 x (irr-G2-7) + 16 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-71-29	Δ = 321	bi.bi = 71	b0.bi = 29	6 x (irr-G2-7) + 19 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-321-77-29	Δ = 321	bi.bi = 77	b0.bi = 29	15 x (irr-G2-7) + 1 x (irr-G2-14) + 8 x (irr-G2-27)
vtx-G02-321-79-31	Δ = 321	bi.bi = 79	b0.bi = 31	22 x (irr-G2-14) + 1 x (irr-G2-27)
