vtx-C05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C5-55)
vtx-C05-475-17-15	Δ = 475	bi.bi = 17	b0.bi = 15	20 x (irr-C5-10) + 2 x (irr-C5-44) + 2 x (irr-C5-55) + 2 x (irr-C5-132-h)
vtx-C05-475-19-17	Δ = 475	bi.bi = 19	b0.bi = 17	9 x (irr-C5-10) + 2 x (irr-C5-55) + 3 x (irr-C5-110)
vtx-C05-475-22-18	Δ = 475	bi.bi = 22	b0.bi = 18	9 x (irr-C5-10) + 3 x (irr-C5-55) + 1 x (irr-C5-110) + 1 x (irr-C5-165)
vtx-C05-475-34-22	Δ = 475	bi.bi = 34	b0.bi = 22	9 x (irr-C5-10) + 1 x (irr-C5-220-h) + 2 x (irr-C5-165)
vtx-C05-476-13-13	Δ = 476	bi.bi = 13	b0.bi = 13	30 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-110)
vtx-C05-476-29-21	Δ = 476	bi.bi = 29	b0.bi = 21	3 x (irr-C5-10) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h) + 2 x (irr-C5-110) + 1 x (irr-C5-320-h)
vtx-C05-476-32-22	Δ = 476	bi.bi = 32	b0.bi = 22	3 x (irr-C5-10) + 2 x (irr-C5-55) + 1 x (irr-C5-132-h) + 1 x (irr-C5-320-h) + 1 x (irr-C5-165)
vtx-C05-477-23-17	Δ = 477	bi.bi = 23	b0.bi = 17	24 x (irr-C5-10) + 2 x (irr-C5-132-h) + 1 x (irr-C5-320-h)
vtx-C05-477-25-19	Δ = 477	bi.bi = 25	b0.bi = 19	7 x (irr-C5-10) + 1 x (irr-C5-44) + 4 x (irr-C5-55) + 3 x (irr-C5-132-h)
vtx-C05-477-34-22	Δ = 477	bi.bi = 34	b0.bi = 22	7 x (irr-C5-10) + 1 x (irr-C5-44) + 3 x (irr-C5-132-h) + 1 x (irr-C5-110) + 1 x (irr-C5-220-h)
vtx-C05-492-16-16	Δ = 492	bi.bi = 16	b0.bi = 16	3 x (irr-C5-10) + 9 x (irr-C5-44) + 1 x (irr-C5-55) + 1 x (irr-C5-132-h)
vtx-C05-493-12-14	Δ = 493	bi.bi = 12	b0.bi = 14	13 x (irr-C5-10) + 7 x (irr-C5-44) + 1 x (irr-C5-110)
