vtx-A07-n27-n1-n1	Δ = -27	bi.bi = -1	b0.bi = -1	1 x (irr-A7-36)
vtx-A07-296-17-13	Δ = 296	bi.bi = 17	b0.bi = 13	3 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-297-10-10	Δ = 297	bi.bi = 10	b0.bi = 10	9 x (irr-A7-8) + 7 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-297-17-13-a	Δ = 297	bi.bi = 17	b0.bi = 13	4 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-297-17-13-b	Δ = 297	bi.bi = 17	b0.bi = 13	2 x (irr-A7-8) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-298-17-13	Δ = 298	bi.bi = 17	b0.bi = 13	2 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-299-9-9	Δ = 299	bi.bi = 9	b0.bi = 9	25 x (irr-A7-8) + 1 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-299-17-13	Δ = 299	bi.bi = 17	b0.bi = 13	2 x (irr-A7-8) + 2 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-301-14-12	Δ = 301	bi.bi = 14	b0.bi = 12	6 x (irr-A7-28) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-301-17-13	Δ = 301	bi.bi = 17	b0.bi = 13	4 x (irr-A7-8) + 3 x (irr-A7-36) + 4 x (irr-A7-56)
vtx-A07-301-65-25	Δ = 301	bi.bi = 65	b0.bi = 25	1 x (irr-A7-28) + 1 x (irr-A7-336)
vtx-A07-302-14-12	Δ = 302	bi.bi = 14	b0.bi = 12	7 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-303-14-12-a	Δ = 303	bi.bi = 14	b0.bi = 12	2 x (irr-A7-8) + 4 x (irr-A7-28) + 2 x (irr-A7-56) + 2 x (irr-A7-63)
vtx-A07-303-14-12-b	Δ = 303	bi.bi = 14	b0.bi = 12	8 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-304-13-11	Δ = 304	bi.bi = 13	b0.bi = 11	16 x (irr-A7-8) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-304-14-12	Δ = 304	bi.bi = 14	b0.bi = 12	2 x (irr-A7-8) + 5 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-305-6-8	Δ = 305	bi.bi = 6	b0.bi = 8	25 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-56)
vtx-A07-305-13-11	Δ = 305	bi.bi = 13	b0.bi = 11	16 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-305-14-12	Δ = 305	bi.bi = 14	b0.bi = 12	2 x (irr-A7-8) + 6 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-308-11-11	Δ = 308	bi.bi = 11	b0.bi = 11	11 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-309-11-11	Δ = 309	bi.bi = 11	b0.bi = 11	12 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-310-10-10	Δ = 310	bi.bi = 10	b0.bi = 10	16 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-311-10-10	Δ = 311	bi.bi = 10	b0.bi = 10	16 x (irr-A7-8) + 5 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-312-10-10	Δ = 312	bi.bi = 10	b0.bi = 10	18 x (irr-A7-8) + 2 x (irr-A7-28) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-313-10-10	Δ = 313	bi.bi = 10	b0.bi = 10	18 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-313-17-13	Δ = 313	bi.bi = 17	b0.bi = 13	9 x (irr-A7-8) + 3 x (irr-A7-36) + 1 x (irr-A7-56) + 2 x (irr-A7-70)
vtx-A07-317-7-9	Δ = 317	bi.bi = 7	b0.bi = 9	16 x (irr-A7-8) + 9 x (irr-A7-28)
vtx-A07-317-14-12	Δ = 317	bi.bi = 14	b0.bi = 12	9 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-56) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-318-14-12	Δ = 318	bi.bi = 14	b0.bi = 12	9 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
