vtx-A09-n24-n1-n1	Δ = -24	bi.bi = -1	b0.bi = -1	2 x (irr-A9-10) + 1 x (irr-A9-55)
vtx-A09-276-12-10	Δ = 276	bi.bi = 12	b0.bi = 10	5 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-276-16-12	Δ = 276	bi.bi = 16	b0.bi = 12	3 x (irr-A9-55) + 1 x (irr-A9-210)
vtx-A09-277-12-10	Δ = 277	bi.bi = 12	b0.bi = 10	5 x (irr-A9-10) + 2 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-300-10-10	Δ = 300	bi.bi = 10	b0.bi = 10	4 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-120)
vtx-A09-300-13-11	Δ = 300	bi.bi = 13	b0.bi = 11	3 x (irr-A9-10) + 1 x (irr-A9-45) + 2 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-301-4-6	Δ = 301	bi.bi = 4	b0.bi = 6	28 x (irr-A9-10) + 1 x (irr-A9-120)
vtx-A09-301-6-8	Δ = 301	bi.bi = 6	b0.bi = 8	4 x (irr-A9-10) + 8 x (irr-A9-45)
vtx-A09-301-10-10	Δ = 301	bi.bi = 10	b0.bi = 10	5 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-120)
vtx-A09-301-13-11	Δ = 301	bi.bi = 13	b0.bi = 11	3 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-302-13-11	Δ = 302	bi.bi = 13	b0.bi = 11	3 x (irr-A9-10) + 3 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-325-14-12	Δ = 325	bi.bi = 14	b0.bi = 12	1 x (irr-A9-10) + 2 x (irr-A9-45) + 2 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-326-5-7	Δ = 326	bi.bi = 5	b0.bi = 7	26 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-326-7-9	Δ = 326	bi.bi = 7	b0.bi = 9	2 x (irr-A9-10) + 9 x (irr-A9-45)
vtx-A09-326-14-12	Δ = 326	bi.bi = 14	b0.bi = 12	1 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-327-14-12	Δ = 327	bi.bi = 14	b0.bi = 12	1 x (irr-A9-10) + 4 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-351-6-8	Δ = 351	bi.bi = 6	b0.bi = 8	24 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-351-8-10	Δ = 351	bi.bi = 8	b0.bi = 10	10 x (irr-A9-45)
vtx-A09-352-9-9	Δ = 352	bi.bi = 9	b0.bi = 9	27 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-376-7-9	Δ = 376	bi.bi = 7	b0.bi = 9	22 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-376-10-10	Δ = 376	bi.bi = 10	b0.bi = 10	25 x (irr-A9-10) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-376-11-11	Δ = 376	bi.bi = 11	b0.bi = 11	18 x (irr-A9-10) + 1 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-377-10-10	Δ = 377	bi.bi = 10	b0.bi = 10	25 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-400-12-12	Δ = 400	bi.bi = 12	b0.bi = 12	16 x (irr-A9-10) + 1 x (irr-A9-99) + 2 x (irr-A9-120)
vtx-A09-401-8-10	Δ = 401	bi.bi = 8	b0.bi = 10	20 x (irr-A9-10) + 4 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-401-11-11	Δ = 401	bi.bi = 11	b0.bi = 11	23 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-401-12-12	Δ = 401	bi.bi = 12	b0.bi = 12	16 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-401-15-13	Δ = 401	bi.bi = 15	b0.bi = 13	18 x (irr-A9-10) + 2 x (irr-A9-55) + 1 x (irr-A9-210)
vtx-A09-402-11-11	Δ = 402	bi.bi = 11	b0.bi = 11	23 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-425-13-13	Δ = 425	bi.bi = 13	b0.bi = 13	14 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-99) + 2 x (irr-A9-120)
vtx-A09-425-16-14	Δ = 425	bi.bi = 16	b0.bi = 14	16 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-210)
vtx-A09-426-9-11	Δ = 426	bi.bi = 9	b0.bi = 11	18 x (irr-A9-10) + 5 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-426-12-12	Δ = 426	bi.bi = 12	b0.bi = 12	21 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-426-13-13	Δ = 426	bi.bi = 13	b0.bi = 13	14 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-426-16-14	Δ = 426	bi.bi = 16	b0.bi = 14	16 x (irr-A9-10) + 1 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-210)
vtx-A09-427-12-12	Δ = 427	bi.bi = 12	b0.bi = 12	21 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-427-16-14	Δ = 427	bi.bi = 16	b0.bi = 14	17 x (irr-A9-10) + 2 x (irr-A9-55) + 1 x (irr-A9-120) + 1 x (irr-A9-252-h)
vtx-A09-449-17-15	Δ = 449	bi.bi = 17	b0.bi = 15	14 x (irr-A9-10) + 2 x (irr-A9-99) + 1 x (irr-A9-210)
vtx-A09-450-14-14	Δ = 450	bi.bi = 14	b0.bi = 14	12 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-99) + 2 x (irr-A9-120)
vtx-A09-450-17-15	Δ = 450	bi.bi = 17	b0.bi = 15	14 x (irr-A9-10) + 1 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-210)
vtx-A09-451-10-12	Δ = 451	bi.bi = 10	b0.bi = 12	16 x (irr-A9-10) + 6 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-451-13-13	Δ = 451	bi.bi = 13	b0.bi = 13	19 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-451-14-14	Δ = 451	bi.bi = 14	b0.bi = 14	12 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-451-17-15-a	Δ = 451	bi.bi = 17	b0.bi = 15	15 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-120) + 1 x (irr-A9-252-h)
vtx-A09-451-17-15-b	Δ = 451	bi.bi = 17	b0.bi = 15	14 x (irr-A9-10) + 2 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-210)
vtx-A09-451-18-16	Δ = 451	bi.bi = 18	b0.bi = 16	8 x (irr-A9-10) + 2 x (irr-A9-55) + 3 x (irr-A9-120)
vtx-A09-452-13-13	Δ = 452	bi.bi = 13	b0.bi = 13	19 x (irr-A9-10) + 4 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-252-h)
vtx-A09-452-17-15	Δ = 452	bi.bi = 17	b0.bi = 15	15 x (irr-A9-10) + 1 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-120) + 1 x (irr-A9-252-h)
vtx-A09-474-18-16	Δ = 474	bi.bi = 18	b0.bi = 16	12 x (irr-A9-10) + 1 x (irr-A9-45) + 2 x (irr-A9-99) + 1 x (irr-A9-210)
vtx-A09-475-15-15	Δ = 475	bi.bi = 15	b0.bi = 15	10 x (irr-A9-10) + 3 x (irr-A9-45) + 1 x (irr-A9-99) + 2 x (irr-A9-120)
vtx-A09-475-18-16-a	Δ = 475	bi.bi = 18	b0.bi = 16	13 x (irr-A9-10) + 2 x (irr-A9-99) + 1 x (irr-A9-120) + 1 x (irr-A9-252-h)
vtx-A09-475-18-16-b	Δ = 475	bi.bi = 18	b0.bi = 16	12 x (irr-A9-10) + 2 x (irr-A9-45) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 1 x (irr-A9-210)
vtx-A09-475-19-17	Δ = 475	bi.bi = 19	b0.bi = 17	6 x (irr-A9-10) + 1 x (irr-A9-55) + 1 x (irr-A9-99) + 3 x (irr-A9-120)
vtx-A09-476-11-13	Δ = 476	bi.bi = 11	b0.bi = 13	14 x (irr-A9-10) + 7 x (irr-A9-45) + 1 x (irr-A9-120)
vtx-A09-476-14-14	Δ = 476	bi.bi = 14	b0.bi = 14	17 x (irr-A9-10) + 4 x (irr-A9-45) + 1 x (irr-A9-99) + 1 x (irr-A9-252-h)
vtx-A09-476-15-15	Δ = 476	bi.bi = 15	b0.bi = 15	10 x (irr-A9-10) + 4 x (irr-A9-45) + 1 x (irr-A9-55) + 2 x (irr-A9-120)
vtx-A09-476-18-16-a	Δ = 476	bi.bi = 18	b0.bi = 16	12 x (irr-A9-10) + 3 x (irr-A9-45) + 2 x (irr-A9-55) + 1 x (irr-A9-210)
