clq-(1,0)-(1,0)-206-186254de	[vtx-D06-206-4-6]	Δ = 206	Δ+28n = 206	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 12 x (irr-D6-12) + 8 x (irr-D6-32-h)
clq-(1,0)-(1,0)-207-3c50e445	[vtx-B03-207-9-9]	Δ = 207	Δ+28n = 207	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 9 x (irr-B3-7) + 18 x (irr-B3-8) + 1 x (irr-B3-21)
clq-(1,0)-(1,0)-209-397a0840	[vtx-A12-209-1-3]	Δ = 209	Δ+28n = 209	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 11 x (irr-A12-13) + 3 x (irr-A12-78)
clq-(1,0)-(1,0)-215-b350ac78	[vtx-C07-215-1-3]	Δ = 215	Δ+28n = 215	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 10 x (irr-C7-14) + 2 x (irr-C7-90)
clq-(1,0)-(1,0)-216-dc24e721	[vtx-D04-216-9-9]	Δ = 216	Δ+28n = 216	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 9 x (irr-D4-8a) + 18 x (irr-D4-8b) + 1 x (irr-D4-28)
clq-(1,0)-(1,0)-218-7b7b7ccb	[vtx-A13-218-1-3]	Δ = 218	Δ+28n = 218	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 10 x (irr-A13-14) + 3 x (irr-A13-91)
clq-(1,0)-(1,0)-218-9569a30f	[vtx-A06-218-4-6]	Δ = 218	Δ+28n = 218	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 20 x (irr-A6-7) + 6 x (irr-A6-21)
clq-(1,0)-(1,0)-218-ac31eb40	[vtx-C02-218-16-12]	Δ = 218	Δ+28n = 218	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 32 x (irr-C2-4) + 14 x (irr-C2-5) + 3 x (irr-C2-10)
clq-(1,0)-(1,0)-219-95d091ed	[vtx-B06-219-4-6]	Δ = 219	Δ+28n = 219	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 13 x (irr-B6-13) + 4 x (irr-B6-64-h)
clq-(1,0)-(1,0)-224-a9ae2c11	[vtx-G02-224-16-12]	Δ = 224	Δ+28n = 224	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 28 x (irr-G2-7) + 3 x (irr-G2-14)
clq-(1,0)-(1,0)-225-baf632ac	[vtx-A06-225-4-6]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 25 x (irr-A6-7) + 3 x (irr-A6-21) + 1 x (irr-A6-35)
clq-(1,0)-(1,0)-225-d301ce3b	[vtx-A04-225-9-9]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 27 x (irr-A4-5) + 9 x (irr-A4-10) + 1 x (irr-A4-24)
clq-(1,0)-(1,0)-225-54fa3f9e	[vtx-B04-225-9-9]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[9]]	b0.bi = [9]	(1) : 9 x (irr-B4-9) + 9 x (irr-B4-16) + 1 x (irr-B4-36)
clq-(1,0)-(1,0)-225-aaaa9119	[vtx-C02-225-16-12]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[16]]	b0.bi = [12]	(1) : 38 x (irr-C2-4) + 11 x (irr-C2-5) + 1 x (irr-C2-16-h) + 2 x (irr-C2-10)
clq-(1,0)-(1,0)-225-4c22dce6	[vtx-C02-225-36-18]	Δ = 225	Δ+28n = 225	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[36]]	b0.bi = [18]	(1) : 27 x (irr-C2-5) + 10 x (irr-C2-10)
clq-(1,0)-(1,0)-226-2facf49e	[vtx-A14-226-1-3]	Δ = 226	Δ+28n = 226	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 9 x (irr-A14-15) + 3 x (irr-A14-105)
